Plant_ID,Family,Treatment,Bradyrhizobia,Pseudomonas,Variovorax,Block,Position,Germination,Mortality1,Leaf_no_1,Leaf_no_2,Mortality2,Leaf_no_3,Leaf_no_4,Leaf_no_5,Leaf_no_6,Death_day,Nodule_no,Pink_nodule,Yellow_nodule,Dark_nodule,Long_nodule,Round_nodule,Flower_date,Flower_count,Aboveground_mg,Belowground_mg,Dead
ZP001,S11,CCC,N,N,N,A,20,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.73,2.07,0
ZP002,S5,CCC,N,N,N,A,1,1,1,1,2,1,4,3,4,4,NA,0,0,0,0,0,0,NA,0,13.3,26.67,0
ZP003,S1,CCC,N,N,N,A,8,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,7.31,2.26,0
ZP004,S1,BCC,Y,N,N,A,19,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.63,2.26,0
ZP005,S3,BCC,Y,N,N,A,26,1,1,1,2,1,4,2,4,9,NA,8,6,2,0,7,1,NA,0,69.52,49.67,0
ZP006,S5,BCC,Y,N,N,A,5,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,8.63,1.75,0
ZP007,S4,VCC,N,N,Y,A,25,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.4,0.18,0
ZP008,S5,VCC,N,N,Y,A,7,1,1,1,2,1,3,2,3,3,NA,0,0,0,0,0,0,NA,0,12.27,15.96,0
ZP009,S6,VCC,N,N,Y,A,11,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.26,2.84,0
ZP010,S1,PCC,N,Y,N,A,28,1,1,1,2,1,2,2,3,3,NA,0,0,0,0,0,0,NA,0,11.21,28.91,0
ZP011,S10,PCC,N,Y,N,A,6,1,1,1,2,1,4,3,5,1,NA,0,0,0,0,0,0,NA,0,8.82,26.11,0
ZP012,S7,PCC,N,Y,N,A,14,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.47,1.68,0
ZP013,S7,BVC,Y,N,Y,A,16,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP014,S9,BVC,Y,N,Y,A,21,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1.98,1.18,0
ZP015,S2,BVC,Y,N,Y,A,13,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.11,1.96,0
ZP016,S8,BVC,Y,N,Y,A,9,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.11,1.57,0
ZP017,S4,BPC,Y,Y,N,A,4,1,1,1,2,1,5,4,6,7,NA,24,3,6,15,6,18,NA,0,28.54,45.66,0
ZP018,S9,BPC,Y,Y,N,A,23,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.46,7.54,0
ZP019,S7,BPC,Y,Y,N,A,2,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP020,S11,BPC,Y,Y,N,A,15,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.24,0.84,0
ZP021,S8,BPV,Y,Y,Y,A,18,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.63,2.17,0
ZP022,S11,BPV,Y,Y,Y,A,17,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.32,0.88,0
ZP023,S1,BPV,Y,Y,Y,A,24,1,1,1,1,1,3,3,4,2,NA,0,0,0,0,0,0,NA,0,5.51,15.63,0
ZP024,S10,BPV,Y,Y,Y,A,10,1,1,0,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.58,3.45,0
ZP025,S4,PVC,N,Y,Y,A,27,1,1,1,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,9.5,2.78,0
ZP026,S6,PVC,N,Y,Y,A,12,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.33,1.62,0
ZP027,S4,PVC,N,Y,Y,A,3,1,1,0,1,1,3,2,3,NA,19,0,0,0,0,0,0,NA,0,4.38,7.17,1
ZP028,S9,PVC,N,Y,Y,A,22,1,1,0,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,2.44,0.58,0
ZP029,S4,CCC,N,N,N,B,22,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.77,1.57,0
ZP030,S11,CCC,N,N,N,B,6,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,9.4,1.7,0
ZP031,S9,CCC,N,N,N,B,26,1,1,1,2,1,3,1,2,2,NA,0,0,0,0,0,0,NA,0,10.09,17.66,0
ZP032,S10,CCC,N,N,N,B,15,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.81,5.33,0
ZP033,S4,BCC,Y,N,N,B,25,1,1,1,2,1,4,3,3,NA,27,0,0,0,0,0,0,NA,0,8.55,21.51,1
ZP034,S7,BCC,Y,N,N,B,13,1,1,0,1,1,3,3,3,2,NA,0,0,0,0,0,0,NA,0,6.65,17.9,0
ZP035,S11,BCC,Y,N,N,B,21,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,2.86,2.49,0
ZP036,S4,BCC,Y,N,N,B,28,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.26,6.61,0
