sample-id	sample-id-clean	nodule-no	population-id	latitude 	longitude 	sample-type
184.A1_culture	A1_culture	4	A	26.925556	-82.335281	culture
192.A10_culture	A10_culture	3	A	26.925556	-82.335281	culture
193.A11_culture	A11_culture	4	A	26.925556	-82.335281	culture
201.A2_culture	A2_culture	4	A	26.925556	-82.335281	culture
209.A5_culture	A5_culture	10	A	26.925556	-82.335281	culture
217.A7_culture	A7_culture	3	A	26.925556	-82.335281	culture
225.A8_culture	A8_culture	2	A	26.925556	-82.335281	culture
233.A9_culture	A9_culture	3	A	26.925556	-82.335281	culture
241.BA2_culture	BA2_culture	3	BA	38.63593	-77.539996	culture
242.BA5_culture	BA5_culture	2	BA	38.63593	-77.539996	culture
257.BG1_culture	BG1_culture	12	BG	10.345278	-85.33861111	culture
265.BG3_culture	BG3_culture	6	BG	10.345278	-85.33861111	culture
273.BG4_culture	BG4_culture	14	BG	10.345278	-85.33861111	culture
281.BG5_culture	BG5_culture	8	BG	10.345278	-85.33861111	culture
194.BG7_culture	BG7_culture	10	BG	10.345278	-85.33861111	culture
202.BG8_culture	BG8_culture	11	BG	10.345278	-85.33861111	culture
210.BG9_culture	BG9_culture	13	BG	10.345278	-85.33861111	culture
218.BI1_culture	BI1_culture	6	BI	10.341746	-85.364976	culture
226.BI2_culture	BI2_culture	8	BI	10.341746	-85.364976	culture
234.BI3_culture	BI3_culture	12	BI	10.341746	-85.364976	culture
250.BI7_culture	BI7_culture	9	BI	10.341746	-85.364976	culture
258.BI7_culture	BI7_culture	3	BI	10.341746	-85.364976	culture
266.BI9_culture	BI9_culture	13	BI	10.341746	-85.364976	culture
274.BJ3_culture	BJ3_culture	12	BJ	10.346475	-85.358367	culture
282.BJ4_culture	BJ4_culture	12	BJ	10.346475	-85.358367	culture
195.BL1_culture	BL1_culture	12	BL	10.358333	-85.3202778	culture
203.BL2_culture	BL2_culture	12	BL	10.358333	-85.3202778	culture
211.BL3_culture	BL3_culture	8	BL	10.358333	-85.3202778	culture
219.BL5_culture	BL5_culture	9	BL	10.358333	-85.3202778	culture
227.BL6_culture	BL6_culture	7	BL	10.358333	-85.3202778	culture
235.BL7_culture	BL7_culture	9	BL	10.358333	-85.3202778	culture
243.BL8_culture	BL8_culture	2	BL	10.358333	-85.3202778	culture
251.BM2_culture	BM2_culture	6	BM	10.442222	-84.00638889	culture
259.BM5_culture	BM5_culture	9	BM	10.442222	-84.00638889	culture
267.BN1_culture	BN1_culture	10	BN	10.444444	-84.00583333	culture
275.BN3_culture	BN3_culture	9	BN	10.444444	-84.00583333	culture
283.BN4_culture	BN4_culture	12	BN	10.444444	-84.00583333	culture
196.BN5_culture	BN5_culture	8	BN	10.444444	-84.00583333	culture
212.BN8_culture	BN8_culture	6	BN	10.444444	-84.00583333	culture
220.BUS135_culture	BUS135_culture	11	BUS	8.782922	-82.960249	culture
228.BUS61_culture	BUS61_culture	7	BUS	8.782922	-82.960249	culture
236.BUS900_culture	BUS900_culture	10	BUS	8.782922	-82.960249	culture
244.BUS91_culture	BUS91_culture	10	BUS	8.782922	-82.960249	culture
252.BUS93_culture	BUS93_culture	7	BUS	8.782922	-82.960249	culture
260.C1_culture	C1_culture	3	C	25.650555	-80.374443	culture
268.C3_culture	C3_culture	2	C	25.650555	-80.374443	culture
276.C4_culture	C4_culture	2	C	25.650555	-80.374443	culture
284.D1_culture	D1_culture	3	D	26.181227	-81.555852	culture
197.D2_culture	D2_culture	6	D	26.181227	-81.555852	culture
205.D3_culture	D3_culture	11	D	26.181227	-81.555852	culture
213.D4_culture	D4_culture	9	D	26.181227	-81.555852	culture
221.D5_culture	D5_culture	7	D	26.181227	-81.555852	culture
229.E1_culture	E1_culture	8	E	28.55832	-81.639747	culture
237.E2_culture	E2_culture	5	E	28.55832	-81.639747	culture
245.E4_culture	E4_culture	8	E	28.55832	-81.639747	culture
253.E5_culture	E5_culture	8	E	28.55832	-81.639747	culture
261.G1_culture	G1_culture	8	G	27.917146	-81.999784	culture
269.G3_culture	G3_culture	7	G	27.917146	-81.999784	culture
277.G4_culture	G4_culture	6	G	27.917146	-81.999784	culture
285.G5_culture	G5_culture	10	G	27.917146	-81.999784	culture
198.H1_culture	H1_culture	9	H	28.06434	-82.571465	culture
206.H2_culture	H2_culture	7	H	28.06434	-82.571465	culture
214.H4_culture	H4_culture	7	H	28.06434	-82.571465	culture
222.H5_culture	H5_culture	3	H	28.06434	-82.571465	culture
230.H6_culture	H6_culture	15	H	28.06434	-82.571465	culture
238.H8_culture	H8_culture	10	H	28.06434	-82.571465	culture
246.J1_culture	J1_culture	11	J	27.183525	-81.362577	culture
254.J2_culture	J2_culture	5	J	27.183525	-81.362577	culture
262.J5_culture	J5_culture	4	J	27.183525	-81.362577	culture
270.MIR107_culture	MIR107_culture	5	MIR	8.68027778	-82.93638889	culture
278.MIR123_culture	MIR123_culture	11	MIR	8.68027778	-82.93638889	culture
286.MIR135_culture	MIR135_culture	10	MIR	8.68027778	-82.93638889	culture
199.MIR138_culture	MIR138_culture	14	MIR	8.68027778	-82.93638889	culture
207.MIR216_culture	MIR216_culture	9	MIR	8.68027778	-82.93638889	culture
293.N1_culture	N1_culture	2	N	30.747062	-82.070194	culture
294.N2_culture	N2_culture	1	N	30.747062	-82.070194	culture
215.N5_culture	N5_culture	NA	N	30.747062	-82.070194	culture
223.O4_culture	O4_culture	9	O	31.097712	-81.728047	culture
231.O6_culture	O6_culture	13	O	31.097712	-81.728047	culture
239.O7_culture	O7_culture	9	O	31.097712	-81.728047	culture
247.O9_culture	O9_culture	9	O	31.097712	-81.728047	culture
255.P2_culture	P2_culture	5	P	31.46366	-81.364939	culture
263.Q1_culture	Q1_culture	5	Q	32.305494	-81.044083	culture
271.Q3_culture	Q3_culture	4	Q	32.305494	-81.044083	culture
279.Q4_culture	Q4_culture	6	Q	32.305494	-81.044083	culture
287.Q6_culture	Q6_culture	5	Q	32.305494	-81.044083	culture
200.Q7_culture	Q7_culture	7	Q	32.305494	-81.044083	culture
