sample-id	ID_clean	Sample_type	Pop_code	Latitude	Longitude
A1_soil	A1	soil	A	26.925556	-82.335281
BJ4_soil	BJ4	soil	BJ	10.346475	-85.358367
E5_soil	E5	soil	E	28.55832	-81.639747
O3_soil	O3	soil	O	31.097712	-81.728047
Q9_soil	Q9	soil	Q	32.305494	-81.044083
V4_soil	V4	soil	V	35.514389	-78.957078
A11_soil	A11	soil	A	26.925556	-82.335281
BL1_soil	BL1	soil	BL	10.358333	-85.3202778
G1_soil	G1	soil	G	27.917146	-81.999784
O4_soil	O4	soil	O	31.097712	-81.728047
R6_soil	R6	soil	R	32.302081	-81.775907
X10_soil	X10	soil	X	35.108086	-79.718977
A7_soil	A7	soil	A	26.925556	-82.335281
BL6_soil	BL6	soil	BL	10.358333	-85.3202778
G5_soil	G5	soil	G	27.917146	-81.999784
O6_soil	O6	soil	O	31.097712	-81.728047
R7_soil	R7	soil	R	32.302081	-81.775907
Y4_soil	Y4	soil	Y	38.269308	-77.206498
A8_soil	A8	soil	A	26.925556	-82.335281
BL7_soil	BL7	soil	BL	10.358333	-85.3202778
H1_soil	H1	soil	H	28.06434	-82.571465
O7_soil	O7	soil	O	31.097712	-81.728047
S3_soil	S3	soil	S	36.516111	-78.73027778
Y5_soil	Y5	soil	Y	38.269308	-77.206498
A9_soil	A9	soil	A	26.925556	-82.335281
D2_soil	D2	soil	D	26.181227	-81.555852
J1_soil	J1	soil	J	27.183525	-81.362577
O8_soil	O8	soil	O	31.097712	-81.728047
S7_soil	S7	soil	S	36.516111	-78.73027778
Y8_soil	Y8	soil	Y	38.269308	-77.206498
BG3_soil	BG3	soil	BG	10.345278	-85.33861111
D3_soil	D3	soil	D	26.181227	-81.555852
K3_soil	K3	soil	K	29.334928	-81.109401
O9_soil	O9	soil	O	31.097712	-81.728047
S8_soil	S8	soil	S	36.516111	-78.73027778
Z9_soil	Z9	soil	Z	38.600637	-77.490228
BG4_soil	BG4	soil	BG	10.345278	-85.33861111
D4_soil	D4	soil	D	26.181227	-81.555852
K4_soil	K4	soil	K	29.334928	-81.109401
